# Species,Genes,Zhunt_mean,Zhunt_max,Zhunt_count,func
50,50,2843.61,8922.65,24,MULTISPECIES: 50S ribosomal protein L32 
39,39,2032.01,8922.65,7,MULTISPECIES: translation initiation factor IF-1 
50,50,1199.71,7973.08,27,MULTISPECIES: 30S ribosomal protein S10 
50,50,3323.36,8485.76,25,MULTISPECIES: 50S ribosomal protein L14 
50,50,9761.61,68804.91,28,MULTISPECIES: 50S ribosomal protein L36 
50,50,1419.67,3051.76,9,MULTISPECIES: glutathione S-transferase N-terminal domain-containing protein 
50,50,5473.81,48804.94,41,MULTISPECIES: 50S ribosomal protein L34 
45,48,31849.91,302785.5,49,MULTISPECIES: 30S ribosomal protein S21 
50,50,44704.58,302785.5,14,chromosomal replication initiator protein DnaA 
50,50,44421.54,941334.2,22,DNA polymerase III subunit beta 
50,50,3951.1,38833.58,17,DNA topoisomerase (ATP-hydrolyzing) subunit B 
35,40,4654.34,66470.78,36,SDR family oxidoreductase 
46,61,7546.14,138924.1,38,cardiolipin synthase 
30,33,8417.4,138924.1,29,low molecular weight phosphotyrosine protein phosphatase 
44,44,10268.04,138924.1,32,7-carboxy-7-deazaguanine synthase 
27,32,2573.3,13713.99,20,carboxymuconolactone decarboxylase family protein 
30,30,7938.68,38833.58,31,siderophore-interacting protein 
32,39,2380.7,7300.11,21,MFS transporter 
33,35,9268.26,138924.1,21,LysR family transcriptional regulator 
36,38,1803.14,8323.26,29,LysE/ArgO family amino acid transporter 
28,39,2223.72,14935.53,31,LysR family transcriptional regulator ArgP 
50,58,2828.44,28780.5,32,endonuclease/exonuclease/phosphatase family protein 
27,30,9201.84,138924.1,25,YbfB/YjiJ family MFS transporter 
28,29,4251.06,28780.5,16,AI-2E family transporter 
31,39,3311.31,14651.73,19,dihydropyrimidinase 
25,32,9632.27,138924.1,26,GntR family transcriptional regulator 
38,55,6504.88,65884.11,27,YbhB/YbcL family Raf kinase inhibitor-like protein 
44,53,4619.7,38833.58,22,heavy-metal-associated domain-containing protein 
48,51,1932.59,13713.99,29,heavy metal translocating P-type ATPase 
25,27,2439.16,13713.99,26,glutathione transferase GstA 
30,30,3643.32,28780.5,30,YkgJ family cysteine cluster protein 
49,49,2772.94,13713.99,35,tRNA uridine-5-carboxymethylaminomethyl(34) synthesis enzyme MnmG 
50,50,5128.69,48804.94,20,16S rRNA (guanine(527)-N(7))-methyltransferase RsmG 
50,50,2247.31,13713.99,29,AAA family ATPase 
33,50,13164.69,138924.1,29,alpha/beta hydrolase 
50,50,3705.6,28780.5,21,ParB/RepB/Spo0J family partition protein 
35,36,1599.01,8323.26,25,FAD-binding protein 
44,44,16173.9,211093.9,30,"cob(I)yrinic acid a,c-diamide adenosyltransferase "
29,30,2483.69,12723.6,34,CysB family HTH-type transcriptional regulator 
44,44,5854.6,38833.58,32,flavin reductase family protein 
33,45,6536.19,38833.58,27,carboxymuconolactone decarboxylase family protein 
31,42,7101.69,38833.58,31,DMT family transporter 
30,30,2764.3,21377.49,26,DsbA family oxidoreductase 
28,32,58503.76,941334.2,20,LysR family transcriptional regulator 
28,33,5361.96,49376.54,29,metallophosphoesterase 
43,43,1687.72,4545.7,15,phosphoenolpyruvate carboxykinase (GTP) 
45,45,2474.15,13713.99,24,DNA helicase RecQ 
27,27,2503.18,13713.99,30,homocysteine S-methyltransferase family protein 
45,45,4722.75,38833.58,18,methionine synthase 
41,41,3893.25,28780.5,27,YifB family Mg chelatase-like AAA ATPase 
46,47,6002.2,38833.58,8,MULTISPECIES: P-II family nitrogen regulator 
45,46,2353.12,13713.99,19,ammonium transporter 
40,47,28303.62,302785.5,34,glycolate oxidase subunit GlcE 
36,37,13050.67,138924.1,32,DUF1275 domain-containing protein 
42,44,11552.04,138924.1,31,glycolate oxidase subunit GlcF 
35,39,7821.96,198956.2,39,YafY family transcriptional regulator 
49,49,3041.89,29467.88,27,glutathione peroxidase 
45,45,5851.83,66470.78,14,lysophospholipid transporter LplT 
44,47,44533.22,941334.2,35,alanine racemase 
32,45,32971.37,941334.2,35,2-dehydropantoate 2-reductase 
25,30,33903.2,941334.2,33,4-hydroxy-2-oxoheptanedioate aldolase 
32,42,34935.41,941334.2,31,copper-binding protein 
31,37,42045.72,941334.2,27,copper oxidase 
25,29,34889.89,941334.2,29,TolC family protein 
27,48,35240.7,941334.2,29,heavy metal response regulator transcription factor 
28,31,43695.58,941334.2,23,heavy metal response regulator transcription factor 
50,50,3442.29,13713.99,28,zinc-finger domain-containing protein 
27,30,3330.35,28780.5,28,class A beta-lactamase 
39,43,2814.78,28780.5,31,M48 family metallopeptidase 
43,58,4887.27,28780.5,28,NAD-dependent succinate-semialdehyde dehydrogenase 
27,28,5529.38,28780.5,25,PLP-dependent aminotransferase family protein 
50,50,5292.93,48804.94,34,Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatB 
50,50,8128.57,138924.1,30,Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatA 
50,50,7571.39,68804.91,23,Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatC 
50,53,3578.1,13713.99,28,MULTISPECIES: rod shape-determining protein 
50,50,5112.38,37878.25,32,rod shape-determining protein MreC 
49,49,9415.39,138924.1,27,rod shape-determining protein MreD 
46,46,2212.75,13713.99,34,penicillin-binding protein 2 
43,43,2621.96,10894.72,28,GMC family oxidoreductase N-terminal domain-containing protein 
41,41,1925.67,13713.99,33,IMPACT family protein 
35,35,4465.72,46858.52,39,MlaD family protein 
33,33,3457.04,17253.57,34,ABC-type transport auxiliary lipoprotein family protein 
32,34,2991.09,13713.99,18,YeiH family protein 
40,50,2697.99,28780.5,25,NAAT family transporter 
50,50,1636.2,13713.99,34,porphobilinogen synthase 
49,49,10587.85,74987.35,19,CopD family protein 
40,40,6875.88,38833.58,30,VanZ family protein 
41,41,4029.56,38833.58,25,ferredoxin 
48,48,1771.58,13713.99,35,alpha/beta hydrolase 
45,47,2244.07,13713.99,24,D-alanyl-D-alanine carboxypeptidase 
50,50,2710.54,27872.66,39,MULTISPECIES: 30S ribosomal protein S12 
50,50,2765.67,6750.53,3,MULTISPECIES: 30S ribosomal protein S7 
50,77,9409.1,198956.2,26,elongation factor G 
50,59,1043.27,3428.53,30,elongation factor Tu 
50,50,952.48,2608.35,10,50S ribosomal protein L3 
50,50,1109.54,2752.45,9,MULTISPECIES: 50S ribosomal protein L4 
50,50,10616.46,10616.46,1,MULTISPECIES: 50S ribosomal protein L23 
50,50,1062.29,3428.53,23,50S ribosomal protein L2 
50,50,1234.74,2752.45,23,MULTISPECIES: 30S ribosomal protein S19 
50,50,1883.8,13713.99,22,MULTISPECIES: 50S ribosomal protein L22 
50,50,9282.89,38833.58,29,30S ribosomal protein S3 
50,50,5800.79,49376.54,41,MULTISPECIES: 50S ribosomal protein L16 
50,50,911.48,2752.45,33,MULTISPECIES: 50S ribosomal protein L29 
50,50,10424.22,49376.54,37,MULTISPECIES: 30S ribosomal protein S17 
39,39,12608.66,49376.54,27,peroxiredoxin 
35,41,11076.86,138924.1,32,LrgB family protein 
43,44,11322.16,65884.11,20,formyltetrahydrofolate deformylase 
35,35,7548.37,65884.11,10,MULTISPECIES: DUF3567 domain-containing protein 
31,36,3490.16,65884.11,33,fumarylacetoacetate hydrolase family protein 
30,35,10855.92,138924.1,29,VOC family protein 
36,38,3210.24,38833.58,25,D-amino acid dehydrogenase 
31,34,13025.92,138924.1,39,response regulator transcription factor 
25,25,9804.65,50885.97,33,cache domain-containing protein 
33,33,5666.31,38833.58,28,MFS transporter 
43,51,9197.31,138924.1,31,multidrug effflux MFS transporter 
50,50,4676.91,28780.5,41,tRNA guanosine(34) transglycosylase Tgt 
49,49,4357.91,50885.97,32,tRNA preQ1(34) S-adenosylmethionine ribosyltransferase-isomerase QueA 
48,48,3705.47,37878.25,32,LysR substrate-binding domain-containing protein 
50,50,4248.36,37878.25,30,4-hydroxybenzoate octaprenyltransferase 
50,51,3826.6,13713.99,30,pyrroline-5-carboxylate reductase 
39,41,4028.59,38833.58,25,glycerol kinase GlpK 
40,40,7446.33,38833.58,23,DeoR/GlpR family DNA-binding transcription regulator 
25,28,9556.47,138924.1,28,carbohydrate ABC transporter permease 
25,25,8339.33,138924.1,27,glycerol-3-phosphate dehydrogenase/oxidase 
50,50,1347.74,3428.53,11,MULTISPECIES: 50S ribosomal protein L24 
50,50,907.27,1737.61,26,MULTISPECIES: 30S ribosomal protein S14 
49,49,1541.68,2752.45,11,MULTISPECIES: 30S ribosomal protein S8 
50,50,5210.91,13713.99,43,50S ribosomal protein L6 
50,50,1568.2,3428.53,31,50S ribosomal protein L18 
50,50,2987.55,13713.99,28,MULTISPECIES: 30S ribosomal protein S5 
50,50,1481.85,3428.53,31,MULTISPECIES: 50S ribosomal protein L30 
50,50,4771.53,27872.66,8,50S ribosomal protein L15 
50,50,6544.3,38833.58,16,preprotein translocase subunit SecY 
50,50,10904.47,66470.78,41,MULTISPECIES: 30S ribosomal protein S13 
50,50,4567.26,48804.94,48,MULTISPECIES: 30S ribosomal protein S11 
50,50,2443.63,13713.99,35,30S ribosomal protein S4 
50,50,1409.35,2752.45,6,MULTISPECIES: DNA-directed RNA polymerase subunit alpha 
50,50,867.1,1202.59,8,50S ribosomal protein L17 
35,35,8107.3,138924.1,26,two-component system response regulator KdpE 
36,36,3610.22,13713.99,25,sensor histidine kinase KdpD 
34,34,1725.93,6565.99,8,potassium-transporting ATPase subunit KdpC 
34,34,5523.92,28780.5,27,potassium-transporting ATPase subunit KdpB 
44,45,3179.15,13713.99,21,TlpA family protein disulfide reductase 
40,40,1912.33,8485.76,21,hypothetical protein 
49,49,2796.15,29467.88,39,PTS fructose transporter subunit IIA 
50,50,41249.58,302785.5,43,HPr family phosphocarrier protein 
49,49,14219.23,198956.2,41,phosphoenolpyruvate--protein phosphotransferase 
50,50,3302.48,13713.99,29,lipoyl synthase 
50,50,7903.32,28780.5,36,lipoyl(octanoyl) transferase LipB 
50,50,1425.13,4831.42,20,DUF493 family protein 
25,26,2049.27,18180.95,25,MBL fold metallo-hydrolase 
26,26,3644.69,29467.88,23,CopD family protein 
50,50,6562.9,28780.5,20,F0F1 ATP synthase subunit A 
50,50,915.9,1202.59,6,MULTISPECIES: F0F1 ATP synthase subunit C 
50,50,1989.2,8922.65,10,F0F1 ATP synthase subunit B 
50,50,4301.75,38833.58,20,F0F1 ATP synthase subunit delta 
50,50,14685.02,46858.52,20,F0F1 ATP synthase subunit alpha 
50,50,972.0,2962.84,25,F0F1 ATP synthase subunit gamma 
50,50,1354.64,6910.52,21,F0F1 ATP synthase subunit beta 
46,46,1240.65,3428.53,14,F0F1 ATP synthase subunit epsilon 
50,50,1398.68,4545.7,16,PTS sugar transporter subunit IIA 
50,50,9713.95,38833.58,12,HPr(Ser) kinase/phosphatase 
46,46,2504.58,13713.99,16,ferric iron uptake transcriptional regulator 
50,50,12825.18,138924.1,28,4-hydroxy-tetrahydrodipicolinate reductase 
